KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,Ground,Aboard,Fatalities,Year,Aboard3
854.01,4.1155,1320,14,134.1698,0.0062,56.0517,0.0027,105.3,5.3,0.0357,0.0016,0.002,0.036,1.9,0.217,248,5.10E-05,3,NoObs,,0,14,1,1946,14
855.01,5.2392,22662,571,128.78669,0.00024,41.40846,0.00011,72.69,0.13,0.13793,0.00019,0.018,0.01,12.5,0.232,444,2.40E-05,2,,,0,27,27,1946,27
856.01,5.7434,13139,335,105.85507,0.00044,39.74897,0.00013,30,1.5,0.1396,0.0025,0.89,0.11,13.1,0.232,498,3.20E-05,3,,,0,14,10,1946,14
857.01,2.501,791,34,107.8799,0.0021,5.715374,0.000085,17,81,0.027,0.027,0.3,2.4,2.2,0.061,786,3.00E-05,2,,,0,25,25,1946,25
858.01,2.458,5299,97,106.98673,0.00068,13.610127,0.000068,24.2,7.3,0.0912,0.0027,0.86,0.26,9.9,0.113,713,-,3,,,0,20,20,1946,20
861.01,1.861,314,22,103.8132,0.0033,2.237565,0.000049,9.37,0.41,0.01774,0.00061,0.0079,-,1.5,0.032,1090,6.50E-05,3,NoObs,,,,,1946,
863.01,2.1284,752,32,105.1473,0.0024,3.16792,0.000051,9,29,0.029,0.018,0.7,1.6,2.7,0.043,1109,7.00E-05,2,,,0,26,26,1946,26
864.01,2.7477,1030,45,106.5739,0.0024,4.311802,0.000067,12.46,0.27,0.03025,0.00051,0.026,0.036,2.2,0.051,846,3.60E-05,2,,,0,10,10,1946,10
864.02,4.2836,705,18,121.0857,0.0067,20.05052,0.00067,36.1,1.6,0.0249,0.0009,0.023,0.02,1.8,0.141,509,-,4,,,16,4,4,1946,4
864.03,1.4038,641,14,119.5789,0.0038,9.76742,0.00019,56,5.3,0.0253,0.0016,0.072,-,1.8,0.087,648,-,4,,,0,14,14,1946,14
865.01,8.1358,6801,142,155.237,0.0014,119.0213,0.002,120.686,0.085,0.074,0.036,0.004,0.032,6,0.473,306,4.60E-05,2,,,0,21,19,1946,21
867.01,3.7401,1460,45,113.2774,0.0021,16.08561,0.00025,34.88,0.71,0.03503,0.00057,0.023,0.03,3.4,0.122,600,5.60E-05,2,,,0,12,12,1946,12
†868.01,7.6456,21449,160,141.4312,0.0034,234,14,171,13,0.1606,0.0025,0.84,0.14,12.5,0.629,193,2.80E-05,2,,,0,28,28,1946,28
869.01,2.7105,909,19,107.9535,0.0045,7.49,0.00024,18,100,0.03,0.035,0.6,2.2,3.2,0.074,809,6.70E-05,2,NoObs,,0,27,27,1946,27
869.02,4.245,1447,18,134.2345,0.0067,36.2911,0.0019,37,45,0.0413,0.0097,0.83,0.74,4.3,0.212,478,5.60E-05,2,NoObs,,0,13,13,1946,13
870.01,2.7731,829,23,105.1871,0.004,5.91213,0.00017,11.9,3.6,0.0298,0.0013,0.53,0.16,3.6,0.062,859,5.80E-05,2,NoObs,,0,38,30,1946,38
870.02,4.3907,987,29,108.6825,0.0043,8.98597,0.00027,21.71,0.84,0.02837,0.00089,0.003,0.01,3.5,0.081,751,5.80E-05,2,NoObs,,0,18,18,1946,18
871.01,2.1775,37608,206,112.4222,0.00037,12.940664,0.000033,38.6,2.5,0.2084,0.0044,0.77,0.19,10.9,0.105,531,1.80E-05,2,,,0,23,23,1946,23
872.01,4.3863,6150,128,119.68414,0.00099,33.60167,0.00025,50.2,7.4,0.0842,0.0027,0.69,0.33,7.4,0.199,456,2.00E-05,2,,,0,18,18,1946,18
873.01,2.2081,334,19,105.2243,0.0038,4.34761,0.00011,15.47,0.73,0.01882,0.00068,0.0167,-,1.3,0.051,866,7.60E-05,2,,,0,3,2,1946,3
874.01,2.1926,662,28,102.9798,0.0027,4.601803,0.000083,16.56,0.63,0.02429,0.00071,0.0081,-,2.2,0.053,882,9.00E-05,2,,,0,25,25,1946,25
875.01,2.9703,2189,99,103.6225,0.00094,4.220936,0.000027,11.42,0.11,0.04377,0.00034,0.014,0.02,2.2,0.042,607,8.00E-05,2,,,0,6,5,1946,6
